POD[33]-EDGE[17], POD[33]-AGGREGATION[7], 0.008807
POD[0]-EDGE[4], POD[0]-AGGREGATION[16], 0.000067
POD[0]-EDGE[4], POD[0]-AGGREGATION[17], 0.000070
POD[0]-EDGE[5], POD[0]-AGGREGATION[0], 0.000071
POD[0]-EDGE[5], POD[0]-AGGREGATION[1], 0.000064
POD[0]-EDGE[5], POD[0]-AGGREGATION[2], 0.000092
POD[0]-EDGE[5], POD[0]-AGGREGATION[3], 0.000060
POD[0]-EDGE[5], POD[0]-AGGREGATION[4], 0.000051
POD[0]-EDGE[5], POD[0]-AGGREGATION[5], 0.000085
POD[0]-EDGE[5], POD[0]-AGGREGATION[6], 0.000050
POD[0]-EDGE[5], POD[0]-AGGREGATION[7], 0.000091
POD[0]-EDGE[5], POD[0]-AGGREGATION[8], 0.000019
POD[0]-EDGE[5], POD[0]-AGGREGATION[9], 0.000088
POD[0]-EDGE[5], POD[0]-AGGREGATION[10], 0.000021
POD[0]-EDGE[5], POD[0]-AGGREGATION[11], 0.000087
POD[0]-EDGE[5], POD[0]-AGGREGATION[12], 0.000038
POD[0]-EDGE[5], POD[0]-AGGREGATION[13], 0.000002
POD[0]-EDGE[5], POD[0]-AGGREGATION[14], 0.000070
POD[0]-EDGE[5], POD[0]-AGGREGATION[15], 0.000092
POD[0]-EDGE[5], POD[0]-AGGREGATION[16], 0.000059
POD[0]-EDGE[5], POD[0]-AGGREGATION[17], 0.000087
POD[0]-EDGE[6], POD[0]-AGGREGATION[0], 0.000086
POD[0]-EDGE[6], POD[0]-AGGREGATION[1], 0.000024
POD[0]-EDGE[6], POD[0]-AGGREGATION[2], 0.000050
POD[0]-EDGE[6], POD[0]-AGGREGATION[3], 0.000095
POD[0]-EDGE[6], POD[0]-AGGREGATION[4], 0.000057
POD[0]-EDGE[6], POD[0]-AGGREGATION[5], 0.000098
POD[0]-EDGE[6], POD[0]-AGGREGATION[6], 0.000074
POD[0]-EDGE[6], POD[0]-AGGREGATION[7], 0.000082
POD[0]-EDGE[6], POD[0]-AGGREGATION[8], 0.000084
POD[0]-EDGE[6], POD[0]-AGGREGATION[9], 0.000081
POD[0]-EDGE[6], POD[0]-AGGREGATION[10], 0.000030
POD[0]-EDGE[6], POD[0]-AGGREGATION[11], 0.000033
POD[0]-EDGE[6], POD[0]-AGGREGATION[12], 0.000017
POD[0]-EDGE[6], POD[0]-AGGREGATION[13], 0.000086
POD[0]-EDGE[6], POD[0]-AGGREGATION[14], 0.000062
POD[0]-EDGE[6], POD[0]-AGGREGATION[15], 0.000007
POD[0]-EDGE[6], POD[0]-AGGREGATION[16], 0.000056
POD[0]-EDGE[6], POD[0]-AGGREGATION[17], 0.000035
POD[0]-EDGE[7], POD[0]-AGGREGATION[0], 0.000061
POD[0]-EDGE[7], POD[0]-AGGREGATION[1], 0.000059
POD[0]-EDGE[7], POD[0]-AGGREGATION[2], 0.000011
POD[0]-EDGE[7], POD[0]-AGGREGATION[3], 0.000062
POD[0]-EDGE[7], POD[0]-AGGREGATION[4], 0.000052
POD[0]-EDGE[7], POD[0]-AGGREGATION[5], 0.000018
POD[0]-EDGE[7], POD[0]-AGGREGATION[6], 0.000097
POD[0]-EDGE[7], POD[0]-AGGREGATION[7], 0.000079
POD[0]-EDGE[7], POD[0]-AGGREGATION[8], 0.000016
POD[0]-EDGE[7], POD[0]-AGGREGATION[9], 0.000098
POD[0]-EDGE[7], POD[0]-AGGREGATION[10], 0.000046
POD[0]-EDGE[7], POD[0]-AGGREGATION[11], 0.000018
POD[0]-EDGE[7], POD[0]-AGGREGATION[12], 0.000100
POD[0]-EDGE[7], POD[0]-AGGREGATION[13], 0.000009
POD[0]-EDGE[7], POD[0]-AGGREGATION[14], 0.000078
POD[0]-EDGE[7], POD[0]-AGGREGATION[15], 0.000001
POD[0]-EDGE[7], POD[0]-AGGREGATION[16], 0.000063
POD[0]-EDGE[7], POD[0]-AGGREGATION[17], 0.000069
POD[0]-EDGE[8], POD[0]-AGGREGATION[0], 0.000071
POD[0]-EDGE[8], POD[0]-AGGREGATION[1], 0.000004
POD[0]-EDGE[8], POD[0]-AGGREGATION[2], 0.000079
POD[0]-EDGE[8], POD[0]-AGGREGATION[3], 0.000038
POD[0]-EDGE[8], POD[0]-AGGREGATION[4], 0.000033
POD[0]-EDGE[8], POD[0]-AGGREGATION[5], 0.000045
POD[0]-EDGE[8], POD[0]-AGGREGATION[6], 0.000033
POD[0]-EDGE[8], POD[0]-AGGREGATION[7], 0.000050
POD[0]-EDGE[8], POD[0]-AGGREGATION[8], 0.000097
POD[0]-EDGE[8], POD[0]-AGGREGATION[9], 0.000002
POD[0]-EDGE[8], POD[0]-AGGREGATION[10], 0.000092
POD[0]-EDGE[8], POD[0]-AGGREGATION[11], 0.000074
POD[0]-EDGE[8], POD[0]-AGGREGATION[12], 0.000029
POD[0]-EDGE[8], POD[0]-AGGREGATION[13], 0.000066
POD[0]-EDGE[8], POD[0]-AGGREGATION[14], 0.000051
POD[0]-EDGE[8], POD[0]-AGGREGATION[15], 0.000010
POD[0]-EDGE[8], POD[0]-AGGREGATION[16], 0.000097
POD[0]-EDGE[8], POD[0]-AGGREGATION[17], 0.000071
POD[0]-EDGE[9], POD[0]-AGGREGATION[0], 0.000034
POD[0]-EDGE[9], POD[0]-AGGREGATION[1], 0.000022
POD[0]-EDGE[9], POD[0]-AGGREGATION[2], 0.000085
POD[0]-EDGE[9], POD[0]-AGGREGATION[3], 0.000053
POD[0]-EDGE[9], POD[0]-AGGREGATION[4], 0.000021
POD[0]-EDGE[9], POD[0]-AGGREGATION[5], 0.000005
POD[0]-EDGE[9], POD[0]-AGGREGATION[6], 0.000042
POD[0]-EDGE[9], POD[0]-AGGREGATION[7], 0.000002
POD[0]-EDGE[9], POD[0]-AGGREGATION[8], 0.000024
POD[0]-EDGE[9], POD[0]-AGGREGATION[9], 0.000098
POD[0]-EDGE[9], POD[0]-AGGREGATION[10], 0.000077
POD[0]-EDGE[9], POD[0]-AGGREGATION[11], 0.000054
POD[0]-EDGE[9], POD[0]-AGGREGATION[12], 0.000070
POD[0]-EDGE[9], POD[0]-AGGREGATION[13], 0.000096
POD[0]-EDGE[9], POD[0]-AGGREGATION[14], 0.000023
POD[0]-EDGE[9], POD[0]-AGGREGATION[15], 0.000070
POD[0]-EDGE[9], POD[0]-AGGREGATION[16], 0.000026
POD[0]-EDGE[9], POD[0]-AGGREGATION[17], 0.000031
POD[0]-EDGE[10], POD[0]-AGGREGATION[0], 0.000086
POD[0]-EDGE[10], POD[0]-AGGREGATION[1], 0.000011
POD[0]-EDGE[10], POD[0]-AGGREGATION[2], 0.000025
POD[0]-EDGE[10], POD[0]-AGGREGATION[3], 0.000006
POD[0]-EDGE[10], POD[0]-AGGREGATION[4], 0.000008
POD[0]-EDGE[10], POD[0]-AGGREGATION[5], 0.000072
POD[0]-EDGE[10], POD[0]-AGGREGATION[6], 0.000003
POD[0]-EDGE[10], POD[0]-AGGREGATION[7], 0.000003
POD[0]-EDGE[10], POD[0]-AGGREGATION[8], 0.000086
POD[0]-EDGE[10], POD[0]-AGGREGATION[9], 0.000008
POD[0]-EDGE[10], POD[0]-AGGREGATION[10], 0.000011
POD[0]-EDGE[10], POD[0]-AGGREGATION[11], 0.000055
POD[0]-EDGE[10], POD[0]-AGGREGATION[12], 0.000087
POD[0]-EDGE[10], POD[0]-AGGREGATION[13], 0.000000
POD[0]-EDGE[10], POD[0]-AGGREGATION[14], 0.000022
POD[0]-EDGE[10], POD[0]-AGGREGATION[15], 0.000056
POD[0]-EDGE[10], POD[0]-AGGREGATION[16], 0.000007
POD[0]-EDGE[10], POD[0]-AGGREGATION[17], 0.000023
POD[0]-EDGE[11], POD[0]-AGGREGATION[0], 0.000036
POD[0]-EDGE[11], POD[0]-AGGREGATION[1], 0.000066
POD[0]-EDGE[11], POD[0]-AGGREGATION[2], 0.000023
POD[0]-EDGE[11], POD[0]-AGGREGATION[3], 0.000055
POD[0]-EDGE[11], POD[0]-AGGREGATION[4], 0.000090
POD[0]-EDGE[11], POD[0]-AGGREGATION[5], 0.000096
POD[0]-EDGE[11], POD[0]-AGGREGATION[6], 0.000055
POD[0]-EDGE[11], POD[0]-AGGREGATION[7], 0.000082
POD[0]-EDGE[11], POD[0]-AGGREGATION[8], 0.000030
POD[0]-EDGE[11], POD[0]-AGGREGATION[9], 0.000078
POD[0]-EDGE[11], POD[0]-AGGREGATION[10], 0.000057
POD[0]-EDGE[11], POD[0]-AGGREGATION[11], 0.000100
POD[0]-EDGE[11], POD[0]-AGGREGATION[12], 0.000093
POD[0]-EDGE[11], POD[0]-AGGREGATION[13], 0.000053
POD[0]-EDGE[11], POD[0]-AGGREGATION[14], 0.000095
POD[0]-EDGE[11], POD[0]-AGGREGATION[15], 0.000063
POD[0]-EDGE[11], POD[0]-AGGREGATION[16], 0.000091
POD[0]-EDGE[11], POD[0]-AGGREGATION[17], 0.000077
POD[0]-EDGE[12], POD[0]-AGGREGATION[0], 0.000062
POD[0]-EDGE[12], POD[0]-AGGREGATION[1], 0.000030
POD[0]-EDGE[12], POD[0]-AGGREGATION[2], 0.000024
POD[0]-EDGE[12], POD[0]-AGGREGATION[3], 0.000090
POD[0]-EDGE[12], POD[0]-AGGREGATION[4], 0.000008
POD[0]-EDGE[12], POD[0]-AGGREGATION[5], 0.000042
POD[0]-EDGE[12], POD[0]-AGGREGATION[6], 0.000030
POD[0]-EDGE[12], POD[0]-AGGREGATION[7], 0.000007
POD[0]-EDGE[12], POD[0]-AGGREGATION[8], 0.000087
POD[0]-EDGE[12], POD[0]-AGGREGATION[9], 0.000097
POD[0]-EDGE[12], POD[0]-AGGREGATION[10], 0.000009
POD[0]-EDGE[12], POD[0]-AGGREGATION[11], 0.000046
POD[0]-EDGE[12], POD[0]-AGGREGATION[12], 0.000080
POD[0]-EDGE[12], POD[0]-AGGREGATION[13], 0.000042
POD[0]-EDGE[12], POD[0]-AGGREGATION[14], 0.000081
POD[0]-EDGE[12], POD[0]-AGGREGATION[15], 0.000057
POD[0]-EDGE[12], POD[0]-AGGREGATION[16], 0.000007
POD[0]-EDGE[12], POD[0]-AGGREGATION[17], 0.000005
POD[0]-EDGE[13], POD[0]-AGGREGATION[0], 0.000017
POD[0]-EDGE[13], POD[0]-AGGREGATION[1], 0.000030
POD[0]-EDGE[13], POD[0]-AGGREGATION[2], 0.000009
POD[0]-EDGE[13], POD[0]-AGGREGATION[3], 0.000022
POD[0]-EDGE[13], POD[0]-AGGREGATION[4], 0.000082
POD[0]-EDGE[13], POD[0]-AGGREGATION[5], 0.000038
POD[0]-EDGE[13], POD[0]-AGGREGATION[6], 0.000072
POD[0]-EDGE[13], POD[0]-AGGREGATION[7], 0.000081
POD[0]-EDGE[13], POD[0]-AGGREGATION[8], 0.000024
POD[0]-EDGE[13], POD[0]-AGGREGATION[9], 0.000011
POD[0]-EDGE[13], POD[0]-AGGREGATION[10], 0.000009
POD[0]-EDGE[13], POD[0]-AGGREGATION[11], 0.000058
POD[0]-EDGE[13], POD[0]-AGGREGATION[12], 0.000067
POD[0]-EDGE[13], POD[0]-AGGREGATION[13], 0.000100
POD[0]-EDGE[13], POD[0]-AGGREGATION[14], 0.000046
POD[0]-EDGE[13], POD[0]-AGGREGATION[15], 0.000071
POD[0]-EDGE[13], POD[0]-AGGREGATION[16], 0.000028
POD[0]-EDGE[13], POD[0]-AGGREGATION[17], 0.000074
POD[0]-EDGE[14], POD[0]-AGGREGATION[0], 0.000007
POD[0]-EDGE[14], POD[0]-AGGREGATION[1], 0.000040
POD[0]-EDGE[14], POD[0]-AGGREGATION[2], 0.000007
POD[0]-EDGE[14], POD[0]-AGGREGATION[3], 0.000087
POD[0]-EDGE[14], POD[0]-AGGREGATION[4], 0.000075
POD[0]-EDGE[14], POD[0]-AGGREGATION[5], 0.000023
POD[0]-EDGE[14], POD[0]-AGGREGATION[6], 0.000012
POD[0]-EDGE[14], POD[0]-AGGREGATION[7], 0.000009
POD[0]-EDGE[14], POD[0]-AGGREGATION[8], 0.000007
POD[0]-EDGE[14], POD[0]-AGGREGATION[9], 0.000033
POD[0]-EDGE[14], POD[0]-AGGREGATION[10], 0.000034
POD[0]-EDGE[14], POD[0]-AGGREGATION[11], 0.000070
POD[0]-EDGE[14], POD[0]-AGGREGATION[12], 0.000077
POD[0]-EDGE[14], POD[0]-AGGREGATION[13], 0.000007
POD[0]-EDGE[14], POD[0]-AGGREGATION[14], 0.000074
POD[0]-EDGE[14], POD[0]-AGGREGATION[15], 0.000023
POD[0]-EDGE[14], POD[0]-AGGREGATION[16], 0.000087
POD[0]-EDGE[14], POD[0]-AGGREGATION[17], 0.000091
POD[0]-EDGE[15], POD[0]-AGGREGATION[0], 0.000034
POD[0]-EDGE[15], POD[0]-AGGREGATION[1], 0.000085
POD[0]-EDGE[15], POD[0]-AGGREGATION[2], 0.000072
POD[0]-EDGE[15], POD[0]-AGGREGATION[3], 0.000027
POD[0]-EDGE[15], POD[0]-AGGREGATION[4], 0.000036
POD[0]-EDGE[15], POD[0]-AGGREGATION[5], 0.000011
POD[0]-EDGE[15], POD[0]-AGGREGATION[6], 0.000072
POD[0]-EDGE[15], POD[0]-AGGREGATION[7], 0.000036
POD[0]-EDGE[15], POD[0]-AGGREGATION[8], 0.000066
POD[0]-EDGE[15], POD[0]-AGGREGATION[9], 0.000092
POD[0]-EDGE[15], POD[0]-AGGREGATION[10], 0.000021
POD[0]-EDGE[15], POD[0]-AGGREGATION[11], 0.000099
POD[0]-EDGE[15], POD[0]-AGGREGATION[12], 0.000081
POD[0]-EDGE[15], POD[0]-AGGREGATION[13], 0.000034
POD[0]-EDGE[15], POD[0]-AGGREGATION[14], 0.000056
POD[0]-EDGE[15], POD[0]-AGGREGATION[15], 0.000067
POD[0]-EDGE[15], POD[0]-AGGREGATION[16], 0.000070
POD[0]-EDGE[15], POD[0]-AGGREGATION[17], 0.000052
POD[0]-EDGE[16], POD[0]-AGGREGATION[0], 0.000003
POD[0]-EDGE[16], POD[0]-AGGREGATION[1], 0.000090
POD[0]-EDGE[16], POD[0]-AGGREGATION[2], 0.000020
POD[0]-EDGE[16], POD[0]-AGGREGATION[3], 0.000082
POD[0]-EDGE[16], POD[0]-AGGREGATION[4], 0.000023
POD[0]-EDGE[16], POD[0]-AGGREGATION[5], 0.000067
POD[0]-EDGE[16], POD[0]-AGGREGATION[6], 0.000072
POD[0]-EDGE[16], POD[0]-AGGREGATION[7], 0.000000
POD[0]-EDGE[16], POD[0]-AGGREGATION[8], 0.000073
POD[0]-EDGE[16], POD[0]-AGGREGATION[9], 0.000002
POD[0]-EDGE[16], POD[0]-AGGREGATION[10], 0.000058
POD[0]-EDGE[16], POD[0]-AGGREGATION[11], 0.000010
POD[0]-EDGE[16], POD[0]-AGGREGATION[12], 0.000052
POD[0]-EDGE[16], POD[0]-AGGREGATION[13], 0.000077
POD[0]-EDGE[16], POD[0]-AGGREGATION[14], 0.000052
POD[0]-EDGE[16], POD[0]-AGGREGATION[15], 0.000001
POD[0]-EDGE[16], POD[0]-AGGREGATION[16], 0.000077
POD[0]-EDGE[16], POD[0]-AGGREGATION[17], 0.000034
POD[0]-EDGE[17], POD[0]-AGGREGATION[0], 0.000000
POD[0]-EDGE[17], POD[0]-AGGREGATION[1], 0.000021
POD[0]-EDGE[17], POD[0]-AGGREGATION[2], 0.000004
POD[0]-EDGE[17], POD[0]-AGGREGATION[3], 0.000061
POD[0]-EDGE[17], POD[0]-AGGREGATION[4], 0.000071
POD[0]-EDGE[17], POD[0]-AGGREGATION[5], 0.000034
POD[0]-EDGE[17], POD[0]-AGGREGATION[6], 0.000083
POD[0]-EDGE[17], POD[0]-AGGREGATION[7], 0.000060
POD[0]-EDGE[17], POD[0]-AGGREGATION[8], 0.000088
POD[0]-EDGE[17], POD[0]-AGGREGATION[9], 0.000009
POD[0]-EDGE[17], POD[0]-AGGREGATION[10], 0.000052
POD[0]-EDGE[17], POD[0]-AGGREGATION[11], 0.000089
POD[0]-EDGE[17], POD[0]-AGGREGATION[12], 0.000061
POD[0]-EDGE[17], POD[0]-AGGREGATION[13], 0.000015
POD[0]-EDGE[17], POD[0]-AGGREGATION[14], 0.000008
POD[0]-EDGE[17], POD[0]-AGGREGATION[15], 0.000082
POD[0]-EDGE[17], POD[0]-AGGREGATION[16], 0.000045
POD[0]-EDGE[17], POD[0]-AGGREGATION[17], 0.000042
POD[1]-EDGE[0], POD[1]-AGGREGATION[0], 0.000036
POD[1]-EDGE[0], POD[1]-AGGREGATION[1], 0.000010
POD[1]-EDGE[0], POD[1]-AGGREGATION[2], 0.000078
POD[1]-EDGE[0], POD[1]-AGGREGATION[3], 0.000080
POD[1]-EDGE[0], POD[1]-AGGREGATION[4], 0.000051
POD[1]-EDGE[0], POD[1]-AGGREGATION[5], 0.000022
POD[1]-EDGE[0], POD[1]-AGGREGATION[6], 0.000072
POD[1]-EDGE[0], POD[1]-AGGREGATION[7], 0.000059
POD[1]-EDGE[0], POD[1]-AGGREGATION[8], 0.000058
POD[1]-EDGE[0], POD[1]-AGGREGATION[9], 0.000042
POD[1]-EDGE[0], POD[1]-AGGREGATION[10], 0.000020
POD[1]-EDGE[0], POD[1]-AGGREGATION[11], 0.000006
POD[1]-EDGE[0], POD[1]-AGGREGATION[12], 0.000094
POD[1]-EDGE[0], POD[1]-AGGREGATION[13], 0.000001
POD[1]-EDGE[0], POD[1]-AGGREGATION[14], 0.000087
POD[1]-EDGE[0], POD[1]-AGGREGATION[15], 0.000044
POD[1]-EDGE[0], POD[1]-AGGREGATION[16], 0.000076
POD[1]-EDGE[0], POD[1]-AGGREGATION[17], 0.000066
POD[1]-EDGE[1], POD[1]-AGGREGATION[0], 0.000073
POD[1]-EDGE[1], POD[1]-AGGREGATION[1], 0.000038
POD[1]-EDGE[1], POD[1]-AGGREGATION[2], 0.000046
POD[1]-EDGE[1], POD[1]-AGGREGATION[3], 0.000095
POD[1]-EDGE[1], POD[1]-AGGREGATION[4], 0.000091
POD[1]-EDGE[1], POD[1]-AGGREGATION[5], 0.000078
POD[1]-EDGE[1], POD[1]-AGGREGATION[6], 0.000064
POD[1]-EDGE[1], POD[1]-AGGREGATION[7], 0.000046
POD[1]-EDGE[1], POD[1]-AGGREGATION[8], 0.000015
POD[1]-EDGE[1], POD[1]-AGGREGATION[9], 0.000033
POD[1]-EDGE[1], POD[1]-AGGREGATION[10], 0.000087
POD[1]-EDGE[1], POD[1]-AGGREGATION[11], 0.000089
POD[1]-EDGE[1], POD[1]-AGGREGATION[12], 0.000060
POD[1]-EDGE[1], POD[1]-AGGREGATION[13], 0.000084
POD[1]-EDGE[1], POD[1]-AGGREGATION[14], 0.000028
POD[1]-EDGE[1], POD[1]-AGGREGATION[15], 0.000068
POD[1]-EDGE[1], POD[1]-AGGREGATION[16], 0.000092
POD[1]-EDGE[1], POD[1]-AGGREGATION[17], 0.000002
POD[1]-EDGE[2], POD[1]-AGGREGATION[0], 0.000058
POD[1]-EDGE[2], POD[1]-AGGREGATION[1], 0.000083
POD[1]-EDGE[2], POD[1]-AGGREGATION[2], 0.000010
POD[1]-EDGE[2], POD[1]-AGGREGATION[3], 0.000043
POD[1]-EDGE[2], POD[1]-AGGREGATION[4], 0.000063
POD[1]-EDGE[2], POD[1]-AGGREGATION[5], 0.000060
POD[1]-EDGE[2], POD[1]-AGGREGATION[6], 0.000086
POD[1]-EDGE[2], POD[1]-AGGREGATION[7], 0.000011
POD[1]-EDGE[2], POD[1]-AGGREGATION[8], 0.000031
POD[1]-EDGE[2], POD[1]-AGGREGATION[9], 0.000053
POD[1]-EDGE[2], POD[1]-AGGREGATION[10], 0.000035
POD[1]-EDGE[2], POD[1]-AGGREGATION[11], 0.000020
POD[1]-EDGE[2], POD[1]-AGGREGATION[12], 0.000043
POD[1]-EDGE[2], POD[1]-AGGREGATION[13], 0.000054
POD[1]-EDGE[2], POD[1]-AGGREGATION[14], 0.000071
POD[1]-EDGE[2], POD[1]-AGGREGATION[15], 0.000094
POD[1]-EDGE[2], POD[1]-AGGREGATION[16], 0.000057
POD[1]-EDGE[2], POD[1]-AGGREGATION[17], 0.000018
POD[1]-EDGE[3], POD[1]-AGGREGATION[0], 0.000082
POD[1]-EDGE[3], POD[1]-AGGREGATION[1], 0.000099
POD[1]-EDGE[3], POD[1]-AGGREGATION[2], 0.000010
POD[1]-EDGE[3], POD[1]-AGGREGATION[3], 0.000056
POD[1]-EDGE[3], POD[1]-AGGREGATION[4], 0.000031
POD[1]-EDGE[3], POD[1]-AGGREGATION[5], 0.000079
POD[1]-EDGE[3], POD[1]-AGGREGATION[6], 0.000049
POD[1]-EDGE[3], POD[1]-AGGREGATION[7], 0.000094
POD[1]-EDGE[3], POD[1]-AGGREGATION[8], 0.000016
POD[1]-EDGE[3], POD[1]-AGGREGATION[9], 0.000043
